id,weight_logs,manual_logs,auto_logs,first_log,last_log
6962181067,30,30,0,2016-04-12T11:59:59Z,2016-05-12T11:59:59Z
8877689391,24,0,24,2016-04-12T06:47:11Z,2016-05-12T06:42:53Z
4558609924,5,5,0,2016-04-18T11:59:59Z,2016-05-09T11:59:59Z
1503960366,2,2,0,2016-05-02T11:59:59Z,2016-05-03T11:59:59Z
2873212765,2,2,0,2016-04-21T11:59:59Z,2016-05-12T11:59:59Z
4319703577,2,2,0,2016-04-17T11:59:59Z,2016-05-04T11:59:59Z
1927972279,1,0,1,2016-04-13T01:08:52Z,2016-04-13T01:08:52Z
5577150313,1,0,1,2016-04-17T09:17:55Z,2016-04-17T09:17:55Z
