day_of_week,is_weekend,avg_steps,avg_calories,avg_sedentary_minutes,avg_active_minutes
Sunday,TRUE,6933.231404958678,2263,990.2561983471074,208.48760330578511
Monday,FALSE,7780.866666666667,2324.2083333333335,1027.9416666666666,229.16666666666666
Tuesday,FALSE,8125.006578947368,2356.0131578947367,1007.3618421052631,234.6315789473684
Wednesday,FALSE,7559.373333333333,2302.62,989.48,223.73333333333332
Thursday,FALSE,7405.836734693878,2199.5714285714284,961.9931972789116,216.7891156462585
Friday,FALSE,7448.230158730159,2331.785714285714,1000.3095238095239,236.36507936507937
Saturday,TRUE,8152.975806451613,2354.967741935484,964.2822580645161,244.26612903225808
