week_number,avg_steps,avg_calories,avg_active_minutes,unique_users
1,7671.320175438596,2335.3815789473683,225.890350877193,33
2,7939.486607142857,2363.1428571428573,237.75446428571428,32
3,7598.711009174312,2304.802752293578,230.93577981651376,32
4,7714.959798994975,2345.1507537688444,228.71356783919597,29
5,6483.577464788732,1893.661971830986,186.92957746478874,26
