variable,total_steps,total_distance,calories,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,total_active_minutes
total_steps,1,0.9853688431626575,0.5915680862453356,0.6670786974802773,0.49869337091863314,0.5696002070110674,-0.3274835461050646,0.7724292872482621
total_distance,0.9853688431626575,1,0.6449618727902221,0.6812974345202275,0.46289888833584836,0.5163004922390724,-0.28809436164631846,0.7226050835028297
calories,0.5915680862453356,0.6449618727902221,1,0.6158382682703379,0.29762346826512176,0.2867175340175488,-0.10697304768018766,0.4719974625368184
very_active_minutes,0.6670786974802773,0.6812974345202275,0.6158382682703379,1,0.31242035347792346,0.05192590878630867,-0.1646709924388928,0.3675449809410312
fairly_active_minutes,0.49869337091863314,0.46289888833584836,0.29762346826512176,0.31242035347792346,1,0.14881991020513696,-0.23744642020750986,0.38181612799451
lightly_active_minutes,0.5696002070110674,0.5163004922390724,0.2867175340175488,0.05192590878630867,0.14881991020513696,1,-0.43710389655253346,0.9349496847225578
sedentary_minutes,-0.3274835461050646,-0.28809436164631846,-0.10697304768018766,-0.1646709924388928,-0.23744642020750986,-0.43710389655253346,1,-0.4752583816612076
total_active_minutes,0.7724292872482621,0.7226050835028297,0.4719974625368184,0.3675449809410312,0.38181612799451,0.9349496847225578,-0.4752583816612076,1
